AgentID,Tgt_3YN,Age_Grp,Gender,Apply_CH,re_hire_freq_grp,Q2,Q7,Q8,Q18,Q22,Q38,rank_INDEX14,rank_INDEX18,rank_INDEX23,rank_INDEX27,rank_INDEX28,rank_INDEX29,rank_INDEX32,rank_INDEX44,rank_INDEX93,rank_AVG_AMT_6M
180,0,30G,2,MGM,0,4,1,7,2,6,2,2,2,1,0,0,0,2,2,2,4
181,0,5060G,2,MGM,0,1,2,4,1,1,2,2,0,1,0,0,1,1,1,1,5
182,0,5060G,2,MGM,0,4,2,3,4,1,2,0,3,3,3,3,2,3,3,3,3
183,0,5060G,2,MGM,0,3,1,5,2,1,2,1,3,3,3,3,3,3,3,2,5
184,0,5060G,2,MGM,0,3,1,3,2,1,2,2,2,2,2,1,2,2,2,2,9
185,0,30G,1,MGM,0,3,2,5,1,1,1,3,0,0,0,0,0,0,0,0,8
186,0,30G,1,MGM,0,2,2,5,1,1,1,3,0,0,0,0,0,0,0,0,5
187,0,5060G,2,MGM,0,3,2,5,2,1,2,1,3,1,2,2,3,2,2,1,9
188,0,40G,2,MGM,0,2,4,4,2,5,2,3,0,1,0,2,0,0,0,1,0
189,0,40G,1,MGM,0,1,2,4,1,1,2,3,0,1,2,1,0,0,0,0,6
190,1,5060G,2,MGM,0,3,1,5,2,6,2,1,1,2,1,1,2,2,2,1,6
191,0,30G,1,MGM,0,3,2,6,2,5,1,3,0,0,0,0,0,0,0,0,2
192,1,5060G,2,MGM,0,3,1,7,1,1,1,0,1,3,3,2,1,3,3,1,9
193,0,5060G,2,MGM,0,4,2,2,2,1,2,2,0,0,3,3,3,0,0,0,4
194,0,5060G,2,MGM,0,3,1,7,1,1,2,2,2,3,3,3,2,0,0,3,5
195,1,40G,2,MGM,0,3,1,4,2,1,2,2,2,1,1,2,1,2,2,1,9
196,0,40G,2,MGM,0,3,2,6,1,1,2,1,1,2,2,2,0,0,0,2,6
197,0,40G,2,MGM,0,3,1,3,3,1,1,2,0,0,0,0,2,0,0,0,6
198,0,30G,2,MGM,0,2,1,6,1,5,1,2,3,1,0,2,0,3,3,2,5
199,0,30G,2,MGM,0,4,1,7,1,1,1,3,1,0,0,0,0,0,1,1,3
200,0,5060G,2,MGM,0,1,3,4,2,6,2,1,3,2,2,3,3,1,1,3,9
201,0,5060G,2,MGM,0,3,2,5,2,5,1,1,1,0,1,0,2,0,0,1,6
202,0,5060G,2,MGM,0,4,2,5,2,1,1,1,1,1,2,1,2,2,2,1,4
203,0,30G,2,MGM,0,2,2,4,2,2,1,3,3,1,0,1,0,3,3,1,3
204,0,40G,2,MGM,0,2,2,5,2,1,2,2,2,0,1,0,1,3,3,1,8
205,0,40G,1,MGM,0,1,1,7,2,1,1,3,0,1,2,2,0,0,0,0,5
206,0,5060G,2,MGM,0,2,2,7,1,6,2,,,,,,,,,,9
207,0,40G,2,MGM,0,1,1,7,2,1,1,3,0,0,0,0,1,0,1,1,2
208,0,5060G,2,MGM,0,4,1,3,2,1,2,2,2,1,2,1,3,0,0,1,8
209,0,40G,2,MGM,0,3,1,5,2,5,1,1,2,2,2,1,0,3,3,2,9
210,0,5060G,2,MGM,0,1,2,7,4,6,2,1,1,1,1,1,3,0,0,1,9
211,0,5060G,2,MGM,0,4,2,6,2,1,1,0,2,3,3,3,2,2,2,2,9
212,0,40G,1,MGM,0,4,1,5,1,6,1,3,0,1,0,0,0,1,1,0,8
213,1,40G,2,MGM,0,1,1,2,4,1,1,2,1,0,0,0,2,0,1,0,9
214,1,40G,2,MGM,0,3,3,4,2,1,1,2,1,2,2,3,1,0,0,2,6
215,0,5060G,2,MGM,0,3,2,4,1,2,1,1,1,2,1,0,2,3,3,2,9
216,0,5060G,2,MGM,0,1,2,4,2,5,1,2,2,2,1,1,3,3,3,1,8
217,0,40G,2,MGM,0,3,2,7,1,6,1,3,1,0,0,1,2,3,3,1,9
218,0,40G,2,MGM,1,3,2,7,1,6,1,3,1,0,0,1,2,3,3,1,6
219,1,40G,2,MGM,0,3,2,7,2,1,1,2,1,1,2,2,1,1,1,1,8
220,0,5060G,2,MGM,0,3,2,6,2,1,2,1,3,3,3,3,2,3,3,3,7
221,0,40G,2,MGM,0,3,2,6,1,6,2,2,1,1,1,3,1,2,2,3,7
222,1,40G,2,MGM,0,3,1,4,1,6,1,3,1,0,1,1,1,1,1,2,9
223,1,40G,2,MGM,0,4,2,4,2,1,1,3,1,0,1,1,2,1,2,1,8
224,0,40G,2,MGM,0,3,1,7,2,6,2,2,1,1,2,0,2,0,0,1,3
225,0,5060G,2,MGM,0,4,1,7,2,1,2,1,1,2,2,2,3,2,2,2,2
226,1,40G,2,MGM,0,3,2,5,2,1,2,2,2,1,3,3,2,1,1,1,8
227,0,5060G,2,MGM,0,3,1,6,1,1,2,2,2,1,2,2,2,2,2,0,5
228,0,5060G,2,MGM,0,3,3,7,2,3,1,1,0,0,2,1,2,0,1,1,6
229,1,40G,2,MGM,0,1,1,3,2,6,1,2,0,0,0,1,2,0,0,0,9
230,1,40G,2,MGM,0,4,2,7,2,6,1,2,0,0,0,1,0,2,2,1,8
231,1,30G,2,MGM,0,3,3,6,2,1,2,3,1,1,0,0,0,1,1,1,7
232,0,40G,2,MGM,0,3,2,5,2,1,2,3,1,1,1,2,2,2,2,1,8
233,1,5060G,2,MGM,0,3,2,5,2,1,2,1,1,1,2,2,2,2,2,1,7
234,0,40G,2,MGM,0,3,2,6,2,2,2,2,1,0,1,1,3,2,2,1,3
235,0,40G,2,MGM,0,4,2,4,1,2,2,2,3,2,2,3,2,3,3,2,5
236,0,5060G,2,MGM,0,3,3,6,2,1,2,0,2,3,2,1,2,3,3,2,6
237,1,40G,2,MGM,0,3,2,7,2,5,1,2,1,0,1,2,2,1,1,2,9
238,1,5060G,2,MGM,0,4,2,4,2,6,2,0,3,3,3,2,2,3,3,3,9
239,0,30G,1,MGM,0,3,2,5,1,1,1,3,0,1,0,0,0,0,0,0,7
240,1,5060G,2,MGM,0,3,2,6,1,6,1,1,2,1,2,0,3,2,2,3,9
241,0,5060G,2,MGM,0,4,2,7,2,1,2,2,0,0,0,0,1,0,0,0,9
242,0,5060G,2,MGM,0,3,3,6,2,1,1,0,3,3,2,2,3,2,2,3,8
243,1,20G,1,MGM,0,2,2,5,2,1,1,0,3,3,0,1,0,3,2,3,9
244,1,30G,2,MGM,0,4,1,7,1,1,1,3,1,0,0,0,0,0,0,0,7
245,0,30G,1,MGM,0,1,2,6,2,1,1,3,0,0,0,0,0,0,0,0,6
246,1,40G,2,MGM,0,3,2,7,2,6,1,2,2,1,1,3,3,2,2,2,9
247,1,40G,2,MGM,0,3,2,6,1,1,1,2,1,0,1,1,0,2,2,2,9
248,0,5060G,2,MGM,0,1,1,6,4,6,1,0,3,3,3,3,3,3,3,3,7
249,0,5060G,1,MGM,0,3,1,6,2,3,2,3,0,1,0,1,0,0,0,0,3
